Province Code,District Code,District Name,Both Sexes (establishments),Male,Female,Not Stated,Both Sexes (%),Male,Female,Not Stated  
1,1,Taplejung,4650,3088,1562, -,0.5,0.33,0.17,0
1,2,Sankhuwasabha,6038,4133,1901,4,0.65,0.45,0.21,0
1,3,Solukhumbu,3508,2356,1152, -,0.38,0.26,0.12,0
1,4,Okhaldhunga,4346,2854,1492, -,0.47,0.31,0.16,0
1,5,Khotang,4308,3011,1297, -,0.47,0.33,0.14,0
1,6,Bhojpur,4074,2661,1409,4,0.44,0.29,0.15,0
1,7,Dhankuta,5997,3541,2446,10,0.65,0.38,0.26,0
1,8,Terhathum,3412,2167,1245, -,0.37,0.23,0.13,0
1,9,Panchthar,5437,3579,1858, -,0.59,0.39,0.2,0
1,10,Ilam,9661,5913,3748, -,1.05,0.64,0.41,0
1,11,Jhapa,38789,24886,13873,30,4.2,2.7,1.5,0
1,12,Morang,35247,23853,11376,18,3.82,2.58,1.23,0
1,13,Sunsari,31536,21074,10437,25,3.42,2.28,1.13,0
1,14,Udayapur,11515,7653,3850,12,1.25,0.83,0.42,0
2,1,Saptari,16295,13652,2595,48,1.76,1.48,0.28,0.01
2,2,Siraha,13137,11190,1946,1,1.42,1.21,0.21,0
2,3,Dhanusa,17965,15682,2256,27,1.95,1.7,0.24,0
2,4,Mahottari,14049,11891,2158, -,1.52,1.29,0.23,0
2,5,Sarlahi,15260,13019,2240,1,1.65,1.41,0.24,0
2,6,Rautahat,12790,11391,1347,52,1.39,1.23,0.15,0.01
2,7,Bara,12449,11107,1332,10,1.35,1.2,0.14,0
2,8,Parsa,15725,14486,1239, -,1.7,1.57,0.13,0
3,1,Dolakha,6758,4382,2376, -,0.73,0.47,0.26,0
3,2,Sindhupalchok,9076,6128,2948, -,0.98,0.66,0.32,0
3,3,Rasuwa,1372,885,483,4,0.15,0.1,0.05,0
3,4,Dhading,12051,7846,4196,9,1.31,0.85,0.45,0
3,5,Nuwakot,8794,6241,2502,51,0.95,0.68,0.27,0.01
3,6,Kathmandu,125047,82406,42016,625,13.54,8.92,4.55,0.07
3,7,Bhaktapur,19631,12298,7275,58,2.13,1.33,0.79,0.01
3,8,Lalitpur,27009,17514,9404,91,2.93,1.9,1.02,0.01
3,9,Kavrepalanchok,14282,10124,4158,  -,1.55,1.1,0.45,0
3,10,Ramechhap,5621,4069,1552,  -,0.61,0.44,0.17,0
3,11,Sindhuli,8001,5964,2035,2,0.87,0.65,0.22,0
3,12,Makwanpur,16041,10257,5783,1,1.74,1.11,0.63,0
3,13,Chitawan,29237,18308,10928,1,3.17,1.98,1.18,0
4,1,Gorkha,10972,6341,4630,1,1.19,0.69,0.5,0
4,2,Manang,487,338,149,  -,0.05,0.04,0.02,0
4,3,Mustang,775,403,372,  -,0.08,0.04,0.04,0
4,4,Myagdi,5063,2823,2240,  -,0.55,0.31,0.24,0
4,5,Kaski,30745,18743,11982,20,3.33,2.03,1.3,0
4,6,Lamjung,6411,4171,2240,  -,0.69,0.45,0.24,0
4,7,Tanahu,12433,7325,5104,4,1.35,0.79,0.55,0
4,8,Nawalparasi East,12745,7445,5300,  -,1.38,0.81,0.57,0
4,9,Syangja,7410,4686,2724,  -,0.8,0.51,0.3,0
4,10,Parbat,4720,3040,1677,3,0.51,0.33,0.18,0
4,11,Baglung,8923,5978,2945,  -,0.97,0.65,0.32,0
5,1,Rukum East,1020,735,285,  -,0.11,0.08,0.03,0
5,2,Rolpa,5094,3330,1764,  -,0.55,0.36,0.19,0
5,3,Pyuthan,5606,3838,1768,  -,0.61,0.42,0.19,0
5,4,Gulmi,9548,6513,3035,  -,1.03,0.71,0.33,0
5,5,Arghakhanchi,6619,4745,1873,1,0.72,0.51,0.2,0
5,6,Palpa,8701,5772,2929,  -,0.94,0.63,0.32,0
5,7,Nawalparasi West,11208,8593,2615,  -,1.21,0.93,0.28,0
5,8,Rupandehi,38403,30159,8228,16,4.16,3.27,0.89,0
5,9,Kapilbastu,13607,11646,1956,5,1.47,1.26,0.21,0
5,10,Dang,14421,9632,4789,  -,1.56,1.04,0.52,0
5,11,Banke,18666,13262,5404,  -,2.02,1.44,0.59,0
5,12,Bardiya,14896,10178,4718,  -,1.61,1.1,0.51,0
6,1,Dolpa,860,713,147,  -,0.09,0.08,0.02,0
6,2,Mugu,1782,1036,746,  -,0.19,0.11,0.08,0
6,3,Humla,2016,1477,539,  -,0.22,0.16,0.06,0
6,4,Jumla,3078,2136,942,  -,0.33,0.23,0.1,0
6,5,Kalikot,3535,2723,812,  -,0.38,0.29,0.09,0
6,6,Dailekh,6308,4578,1730,  -,0.68,0.5,0.19,0
6,7,Jajarkot,3316,2516,800,  -,0.36,0.27,0.09,0
6,8,Rukum West,3994,2588,1405,1,0.43,0.28,0.15,0
6,9,Salyan,6098,4033,2065,  -,0.66,0.44,0.22,0
6,10,Surkhet,11820,7665,4149,6,1.28,0.83,0.45,0
7,1,Bajura,3891,3194,697,  -,0.42,0.35,0.08,0
7,2,Bajhang,6219,4993,1221,5,0.67,0.54,0.13,0
7,3,Darchula,3413,2926,487,  -,0.37,0.32,0.05,0
7,4,Baitadi,4395,3953,441,1,0.48,0.43,0.05,0
7,5,Dadeldhura,4054,3437,617,  -,0.44,0.37,0.07,0
7,6,Doti,3667,2972,695,  -,0.4,0.32,0.08,0
7,7,Achham,4284,3465,819,  -,0.46,0.38,0.09,0
7,8,Kailali,21544,16113,5431,  -,2.33,1.75,0.59,0
7,9,Kanchanpur,11501,8950,2551,  -,1.25,0.97,0.28,0
